0.0000000000000000 0.0011580880143617  21.39401398400852  294.0000000000000 0.0000000000000000 0.0000000000000000 0.0000000000000000 0.2228710000000000 0.0000000000000000 0.0000000000000000 0.0407850000000000 0.0000000000000000 0.0000000000000000 0.7363440000000000
0.0004950495049505 0.0011580879331510  21.39401548426004  294.0000000111946 0.0000000054592791 0.0000000000000000 0.0000000000000000 0.2228709989923363 0.0000000000000000 0.0000000000003979 0.0407849996592314 0.0000000000000326 0.0000000000000000 0.7363439958887754
0.0009900990099010 0.0011580878519403  21.39401698451155  294.0000000223893 0.0000000109185581 0.0000000000000000 0.0000000000000000 0.2228709979846726 0.0000000000000000 0.0000000000007958 0.0407849993184629 0.0000000000000652 0.0000000000000001 0.7363439917775507
0.0014851485148515 0.0011580877685213  21.39401852555772  294.0000000346505 0.0000000165260869 0.0000000000000000 0.0000000000000000 0.2228709969496286 0.0000000000000000 0.0000000000012317 0.0407849989684214 0.0000000000001012 0.0000000000000001 0.7363439875546407
0.0019801980198020 0.0011580876850573  21.39402006743644  294.0000000469336 0.0000000221366412 0.0000000000000000 0.0000000000000000 0.2228709959140259 0.0000000000000000 0.0000000000016682 0.0407849986181907 0.0000000000001372 0.0000000000000001 0.7363439833294514
0.0024752475247525 0.0011580875993715  21.39402165035921  294.0000000603447 0.0000000278963313 0.0000000000000000 0.0000000000000000 0.2228709948508939 0.0000000000000000 0.0000000000021451 0.0407849982586333 0.0000000000001767 0.0000000000000001 0.7363439789919641
0.0029702970297030 0.0011580875135932  21.39402323499217  294.0000000738028 0.0000000336622354 0.0000000000000000 0.0000000000000000 0.2228709937866148 0.0000000000000000 0.0000000000026236 0.0407849978986872 0.0000000000002164 0.0000000000000002 0.7363439746497977
0.0034653465346535 0.0011580874255806  21.39402486090020  294.0000000884550 0.0000000395781016 0.0000000000000000 0.0000000000000000 0.2228709926946484 0.0000000000000000 0.0000000000031449 0.0407849975293598 0.0000000000002599 0.0000000000000002 0.7363439701946815
0.0039603960396040 0.0011580873374254  21.39402648944282  294.0000001031833 0.0000000455035399 0.0000000000000000 0.0000000000000000 0.2228709916009148 0.0000000000000000 0.0000000000036689 0.0407849971594337 0.0000000000003036 0.0000000000000003 0.7363439657323554
0.0044554455445545 0.0011580872470244  21.39402815947447  294.0000001191667 0.0000000515797034 0.0000000000000000 0.0000000000000000 0.2228709904793493 0.0000000000000000 0.0000000000042384 0.0407849967800769 0.0000000000003513 0.0000000000000003 0.7363439611565039
0.0049504950495050 0.0011580871564280  21.39402983311387  294.0000001352592 0.0000000576689735 0.0000000000000000 0.0000000000000000 0.2228709893553636 0.0000000000000000 0.0000000000048119 0.0407849963999001 0.0000000000003993 0.0000000000000003 0.7363439565707808
0.0054455445544554 0.0011580870635752  21.39403154843830  294.0000001526723 0.0000000639096641 0.0000000000000000 0.0000000000000000 0.2228709882034193 0.0000000000000000 0.0000000000054335 0.0407849960102480 0.0000000000004516 0.0000000000000003 0.7363439518710149
0.0059405940594059 0.0011580869704717  21.39403326839439  294.0000001702321 0.0000000701671793 0.0000000000000000 0.0000000000000000 0.2228709870483686 0.0000000000000000 0.0000000000060606 0.0407849956195432 0.0000000000005044 0.0000000000000004 0.7363439471585776
0.0064356435643564 0.0011580868751023  21.39403503021219  294.0000001891830 0.0000000765767385 0.0000000000000000 0.0000000000000000 0.2228709858652464 0.0000000000000000 0.0000000000067388 0.0407849952193223 0.0000000000005617 0.0000000000000004 0.7363439423316391
0.0069306930693069 0.0011580867794238  21.39403679773841  294.0000002083235 0.0000000830070310 0.0000000000000000 0.0000000000000000 0.2228709846782962 0.0000000000000000 0.0000000000074240 0.0407849948178037 0.0000000000006196 0.0000000000000005 0.7363439374890867
0.0074257425742574 0.0011580866814709  21.39403860728137  294.0000002289214 0.0000000895899149 0.0000000000000000 0.0000000000000000 0.2228709834631720 0.0000000000000000 0.0000000000081635 0.0407849944067336 0.0000000000006822 0.0000000000000006 0.7363439325316159
0.0079207920792079 0.0011580865831478  21.39404042366425  294.0000002497566 0.0000000961976391 0.0000000000000000 0.0000000000000000 0.2228709822434614 0.0000000000000000 0.0000000000089118 0.0407849939941085 0.0000000000007457 0.0000000000000007 0.7363439275554376
0.0084158415841584 0.0011580864825430  21.39404228219727  294.0000002721273 0.0000001029584208 0.0000000000000000 0.0000000000000000 0.2228709809954875 0.0000000000000000 0.0000000000097176 0.0407849935719001 0.0000000000008141 0.0000000000000007 0.7363439224639765
0.0089108910891089 0.0011580863815037  21.39404414875889  294.0000002947905 0.0000001097483563 0.0000000000000000 0.0000000000000000 0.2228709797421301 0.0000000000000000 0.0000000000105344 0.0407849931478664 0.0000000000008836 0.0000000000000008 0.7363439173505568
0.0094059405940594 0.0011580862781768  21.39404605758050  294.0000003190608 0.0000001166917297 0.0000000000000000 0.0000000000000000 0.2228709784604404 0.0000000000000000 0.0000000000114121 0.0407849927142236 0.0000000000009585 0.0000000000000009 0.7363439121215716
0.0099009900990099 0.0011580861743478  21.39404797567868  294.0000003436839 0.0000001236687845 0.0000000000000000 0.0000000000000000 0.2228709771725314 0.0000000000000000 0.0000000000123032 0.0407849922784715 0.0000000000010345 0.0000000000000010 0.7363439068672185
0.0103960396039604 0.0011580860682266  21.39404993612234  294.0000003699950 0.0000001307995669 0.0000000000000000 0.0000000000000000 0.2228709758562349 0.0000000000000000 0.0000000000132588 0.0407849918330901 0.0000000000011162 0.0000000000000010 0.7363439014970837
0.0108910891089109 0.0011580859615323  21.39405190715237  294.0000003967281 0.0000001379687812 0.0000000000000000 0.0000000000000000 0.2228709745328416 0.0000000000000000 0.0000000000142305 0.0407849913853014 0.0000000000011992 0.0000000000000011 0.7363438960980034
0.0113861386138614 0.0011580858525427  21.39405392058693  294.0000004252283 0.0000001452919167 0.0000000000000000 0.0000000000000000 0.2228709731810252 0.0000000000000000 0.0000000000152705 0.0407849909278693 0.0000000000012883 0.0000000000000012 0.7363438905829963
0.0118811881188119 0.0011580857429056  21.39405594598174  294.0000004542269 0.0000001526584660 0.0000000000000000 0.0000000000000000 0.2228709718211920 0.0000000000000000 0.0000000000163297 0.0407849904677173 0.0000000000013791 0.0000000000000013 0.7363438850352919
